index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
325;1.074.052,00;6;7;0
326;1.112.024,00;0;7;0
327;1.173.158,00;1;7;0
328;1.271.747,00;2;7;0
329;1.323.785,00;3;7;0
330;1.369.603,00;7;7;0
331;1.456.277,00;8;7;0
332;1.515.062,00;4;7;0
333;2.355.679,00;5;4;1
334;2.379.473,00;6;4;1
335;2.396.366,00;0;4;1
336;2.381.862,00;1;4;1
337;2.241.894,00;2;4;1
338;2.336.079,00;3;4;1
339;2.288.265,00;8;4;1
340;2.427.787,00;4;4;1
341;2.338.345,00;9;4;1
342;1.271.435,00;5;3;1
343;1.285.651,00;6;3;1
344;1.304.501,00;0;3;1
345;1.383.352,00;1;3;1
346;1.312.563,00;2;3;1
347;1.327.246,00;3;3;1
348;1.371.832,00;8;3;1
349;1.435.409,00;4;3;1
350;1.342.575,00;9;3;1
351;1.251.955,00;5;2;1
352;1.267.841,00;6;2;1
353;1.274.295,00;0;2;1
354;1.291.158,00;1;2;1
355;1.166.823,00;2;2;1
356;1.175.245,00;3;2;1
357;1.213.446,00;8;2;1
358;1.470.319,00;4;2;1
359;1.161.125,00;9;2;1
360;1.367.571,00;5;0;1
361;1.368.177,00;6;0;1
362;1.387.773,00;0;0;1
363;1.425.956,00;1;0;1
364;1.378.204,00;2;0;1
365;1.410.466,00;3;0;1
366;1.447.307,00;8;0;1
367;1.494.666,00;4;0;1
368;1.429.701,00;9;0;1
369;694.735,00;5;1;1
370;678.252,00;6;1;1
371;657.898,00;0;1;1
372;662.004,00;1;1;1
373;636.684,00;2;1;1
374;640.929,00;3;1;1
375;643.989,00;8;1;1
376;656.565,00;4;1;1
377;645.721,00;9;1;1
378;4.131,00;5;35;1
379;4.062,00;6;35;1
380;3.962,00;0;35;1
381;3.946,00;1;35;1
382;3.777,00;2;35;1
383;3.819,00;3;35;1
384;3.799,00;8;35;1
385;3.775,00;4;35;1
386;3.774,00;9;35;1
387;852.531,00;5;17;1
388;834.869,00;6;17;1
389;853.814,00;0;17;1
390;901.577,00;1;17;1
391;878.166,00;2;17;1
392;895.695,00;3;17;1
393;935.217,00;8;17;1
394;1.006.429,00;4;17;1
395;917.320,00;9;17;1
396;784.375,00;5;13;1
397;806.075,00;6;13;1
398;824.709,00;0;13;1
399;826.026,00;1;13;1
400;777.453,00;2;13;1
401;773.369,00;3;13;1
402;762.596,00;8;13;1
403;777.507,00;4;13;1
404;768.379,00;9;13;1
405;23.758,00;5;14;1
406;24.965,00;6;14;1
407;24.273,00;0;14;1
408;24.014,00;1;14;1
409;22.152,00;2;14;1
410;22.140,00;3;14;1
411;21.979,00;8;14;1
412;22.232,00;4;14;1
