index;Dato Numérico;fecha_key;ubicacion_key;causa_key;sexo_key
271;1,00;1;24;2;0
272;0,00;2;24;2;0
273;4,00;0;25;2;0
274;2,00;1;25;2;0
275;2,00;2;25;2;0
276;5,00;0;26;2;0
277;3,00;1;26;2;0
278;4,00;2;26;2;0
279;0,00;0;27;2;0
280;1,00;1;27;2;0
281;4,00;2;27;2;0
282;4,00;0;28;2;0
283;6,00;1;28;2;0
284;5,00;2;28;2;0
285;0,00;0;29;2;0
286;1,00;1;29;2;0
287;1,00;2;29;2;0
288;5,00;0;30;2;0
289;8,00;1;30;2;0
290;2,00;2;30;2;0
291;12,00;0;31;2;0
292;27,00;1;31;2;0
293;19,00;2;31;2;0
294;11,00;0;32;2;0
295;5,00;1;32;2;0
296;6,00;2;32;2;0
297;0,00;1;33;2;0
298;0,00;2;33;2;0
299;0,00;2;34;2;0
300;4,00;0;0;3;0
301;9,00;1;0;3;0
302;5,00;2;0;3;0
303;2,00;0;1;3;0
304;1,00;1;1;3;0
305;0,00;2;1;3;0
306;18,00;0;2;3;0
307;15,00;1;2;3;0
308;16,00;2;2;3;0
309;0,00;0;3;3;0
310;0,00;1;3;3;0
311;2,00;2;3;3;0
312;16,00;0;4;3;0
313;20,00;1;4;3;0
314;24,00;2;4;3;0
315;2,00;0;5;3;0
316;5,00;1;5;3;0
317;2,00;2;5;3;0
318;3,00;0;6;3;0
319;0,00;1;6;3;0
320;1,00;2;6;3;0
321;6,00;0;7;3;0
322;3,00;1;7;3;0
323;3,00;2;7;3;0
324;3,00;0;8;3;0
325;11,00;1;8;3;0
326;7,00;2;8;3;0
327;1,00;0;9;3;0
328;0,00;1;9;3;0
329;0,00;2;9;3;0
330;1,00;0;10;3;0
331;5,00;1;10;3;0
332;2,00;2;10;3;0
333;1,00;0;11;3;0
334;0,00;1;11;3;0
335;0,00;2;11;3;0
336;6,00;0;12;3;0
337;1,00;1;12;3;0
338;3,00;2;12;3;0
339;12,00;0;13;3;0
340;8,00;1;13;3;0
341;9,00;2;13;3;0
342;0,00;0;14;3;0
343;2,00;0;15;3;0
344;7,00;1;15;3;0
345;7,00;2;15;3;0
346;0,00;0;16;3;0
347;1,00;1;16;3;0
348;2,00;2;16;3;0
349;3,00;0;17;3;0
350;14,00;1;17;3;0
351;7,00;2;17;3;0
352;3,00;0;18;3;0
353;7,00;1;18;3;0
354;3,00;2;18;3;0
355;6,00;0;19;3;0
356;6,00;1;19;3;0
357;2,00;2;19;3;0
358;3,00;0;20;3;0
359;1,00;1;20;3;0
360;1,00;2;20;3;0
361;2,00;0;21;3;0
362;9,00;1;21;3;0
363;10,00;2;21;3;0
364;1,00;0;22;3;0
365;4,00;1;22;3;0
366;4,00;2;22;3;0
367;0,00;0;23;3;0
368;0,00;1;23;3;0
369;0,00;2;23;3;0
370;0,00;0;24;3;0
371;0,00;1;24;3;0
372;0,00;2;24;3;0
373;0,00;0;25;3;0
374;0,00;1;25;3;0
375;0,00;2;25;3;0
376;0,00;0;26;3;0
377;0,00;1;26;3;0
378;0,00;2;26;3;0
379;0,00;0;27;3;0
380;1,00;1;27;3;0
381;0,00;2;27;3;0
382;2,00;0;28;3;0
383;4,00;1;28;3;0
384;1,00;2;28;3;0
385;11,00;0;29;3;0
386;0,00;1;29;3;0
387;1,00;2;29;3;0
388;12,00;0;30;3;0
389;3,00;1;30;3;0
390;2,00;2;30;3;0
391;17,00;0;31;3;0
392;14,00;1;31;3;0
393;15,00;2;31;3;0
394;3,00;0;32;3;0
395;6,00;1;32;3;0
396;6,00;2;32;3;0
397;0,00;1;33;3;0
398;0,00;2;33;3;0
399;0,00;2;34;3;0
400;3,00;0;0;4;0
401;5,00;1;0;4;0
